"GEOID","year","population","male","female","male_ratio","norm_age_0_19","norm_age_20_69","norm_age_70_plus","race_diversity","unemployment_rate","median_income","mean_income","PercFamiliesBelowPovertyline","HU_occupied_perc","rent_rate","HU_avg_HHsize_owner","HU_avg_HHsize_renter","YB_before_1979_pct","YB_1980_2019_pct","dummy_BY_thredhold50perc"
6037531201,2010,5393,2809,2584,52.0860374559614,38.5,58,3.4,51.0008011497828,6.3,38356,46923,24.1,90.5,65.8972449739389,4.53,4.4,81.0534591194968,18.9465408805031,0
6037531301,2010,6029,3104,2925,51.4844916238182,27.2,64.9,7.8,51.6692072795388,5.2,38139,46849,25.4,98.4,65.916149068323,4.96,3.94,92.4512987012987,7.5487012987013,0
6037541001,2010,1087,609,478,56.0257589696412,23.4,56.1,20.6,75.561224101174,4.1,53929,77500,0,99.5,5.16304347826087,3.08,1,76.986301369863,23.013698630137,0
6037702202,2010,3705,1802,1903,48.6369770580297,20.7,68.9,10.4,37.1730218310231,4.4,89524,137348,2.2,95.9,41.3546255506608,2.43,1.72,86.3088057901086,13.6911942098914,0
6037702300,2010,6612,3345,3267,50.5898366606171,21.3,68.5,10.3,49.9976074226077,5.6,63033,102389,11.2,99.2,51.1118272639381,2.5,1.72,86.0049982149232,13.9950017850768,0
6037276601,2010,3589,1955,1634,54.4719977709668,15.4,76.8,7.8,41.0100954737631,5.5,130962,189699,1,95,29.750593824228,2.48,1.71,73.4605911330049,26.5394088669951,0
6037277000,2010,5201,2623,2578,50.432609113632,23.8,64.4,12,37.3665144557376,2.7,129185,158502,0,91.8,13.4335154826958,2.64,2.23,93.2444852941177,6.75551470588235,0
6037670701,2010,6901,3183,3718,46.1237501811332,25.2,61.6,13,47.8519385716398,3.2,96354,111793,6.1,94.4,19.9123855037834,2.9,2.74,92.0532472771279,7.94675272287213,0
6037700200,2010,6711,3660,3051,54.5373267769334,4.3,85.5,10.3,35.3386546297697,10.7,54375,82266,5.5,92.3,83.60586111701,1.37,1.48,82.2946487557807,17.7053512442193,0
6037700300,2010,5605,3375,2230,60.21409455843,4.4,87.8,7.9,23.0180425435745,4.4,66368,76221,1.4,94.2,61.8708452041785,1.35,1.44,93.255640962063,6.74435903793702,0
6037275500,2010,4940,2451,2489,49.6153846153846,31.6,61.9,6.6,66.9929190775132,12.2,40859,57539,18.2,95.5,67.218137254902,2.57,3.42,80.7026743576298,19.2973256423702,0
