"","offense_against","offense_group","offense_type","n_mean","n_max","n_min","n_sd","crime_rate_mean","crime_rate_max","crime_rate_min","crime_rate_sd"
"38","property","robbery","personal robbery",77.2270433905146,1266,1,96.630337558156,31.7141422089317,6600,0.29244041526539,230.567491984937
"39","society","curfew/loitering/vagrancy violations","curfew/loitering/vagrancy violations",1.4,4,1,0.828078671210825,0.494254777405367,2.59909031838856,0.18308311973636,0.620162103062833
"40","society","disorderly conduct","disorderly conduct",10.0335707019329,129,1,8.83717224028804,8.80084505632731,4800,0.165180046250413,154.391789649228
"41","society","family offenses, nonviolent","family offenses, nonviolent",18.5207468879668,93,1,14.927188637001,9.80193179364273,3600,0.176242509693338,118.833280878435
"42","society","peeping tom","peeping tom",2.19180633147114,21,1,1.85341755121153,0.598735386502494,14.7058823529412,0.114481969089868,0.793180389972936
"43","society","pornography/obscene material","pornography/obscene material",1.83510638297872,6,1,0.901241858225562,0.776632313055694,60.6060606060606,0.133067198935462,4.39562494289687
"44","society","prostitution offenses","assisting or promoting prostitution",3.54716981132075,44,1,4.52237491266795,0.886703674719147,10.7290904657401,0.12639029322548,1.13621448415324
"45","society","prostitution offenses","purchasing prostitution",4.08928571428571,60,1,8.35426585905417,1.07963390007688,15.7521659228144,0.135851107186524,2.27405789598071
"46","society","trespass of real property","trespass of real property",22.3333333333333,476,1,25.5597944318386,13.5393021055509,4400,0.292868648411188,155.26484169356
"47","society","weapon law violations","weapon law violations",30.2258392675483,298,1,27.3120286325841,14.0372340889321,3111.11111111111,0.185804533630621,122.394240685331
"48",NA,NA,NA,1,1,1,0,0.460370604587185,111.111111111111,0.0802375030089064,3.68429416246667
